t,S,I,R
0,999944.139122724,47.90398794520206,4.14440242276335
1,999941.2868427325,58.653397480386786,3.278680524655908
2,999913.3988047292,69.64546183753566,7.253003098274407
3,999891.8393615976,91.18102743385948,10.905958597006657
4,999868.8469888333,107.40176542118685,30.71434770171152
5,999842.0843164492,129.08636759864922,39.128422672699294
6,999804.0113200415,152.0024842513893,47.278300363686476
7,999760.2364517855,179.1577522893148,56.98745091172911
8,999696.3259376689,210.53811883229068,88.2366389801093
9,999636.3092116392,264.24511715946136,100.81947689849896
10,999565.8132796638,307.9128619880269,122.05367928563061
11,999476.292180911,372.2993943961271,173.9705431502237
12,999347.5166316474,438.4075961987105,192.70618499424933
13,999225.7782590796,541.5186923628015,247.3998326104236
14,999058.8812379825,636.5524043319965,292.978068289324
15,998866.4798360626,764.0270806924157,364.6429038086437
16,998638.8027094868,922.3135036415408,442.05826758338316
17,998370.1886390462,1104.8802692614872,522.6167332832625
18,998019.7511310796,1314.6719646431998,645.5092357615448
19,997641.3501721572,1596.9395550098707,770.1377450176052
20,997159.3983794614,1910.2682618706126,929.9672205864423
21,996585.133909749,2291.2614211486566,1121.779010488767
22,995894.0813457074,2751.1077009520623,1347.3531941377303
23,995088.0441555595,3293.6044238264126,1627.3789476212253
24,994087.5234070435,3938.4500663161543,1962.5702496855079
25,992919.8805540093,4735.136827177988,2351.8949808728503
26,991511.9047161372,5666.738617785918,2816.4451887406954
27,989828.8804236097,6781.990897739444,3388.4820066076663
28,987819.8763319667,8121.6753065124085,4071.201127463007
29,985418.7273531287,9712.728586571733,4883.946285518727
30,982542.0169722063,11618.012009714765,5851.475434399816
31,979114.2843118496,13868.424479690611,7016.493571727474
32,975037.2894936214,16559.566827341212,8401.64169478915
33,970194.5768504406,19749.973881315876,10064.90878294578
34,964443.9538201038,23522.9896066493,12028.227959581352
35,957635.5240570878,27983.937941567645,14384.125266244127
36,949593.4935138489,33219.40667776591,17182.441976351016
37,940142.7614931554,39357.82004888354,20502.557117053937
38,929031.5313296105,46526.234834059855,24433.61575948746
39,916073.4316091014,54836.31536348412,29092.576149567998
40,901006.4115005868,64422.218817549714,34577.282642311846
41,883582.43321566,75401.68682586079,41027.166711875594
42,863597.3018747546,87845.62865371174,48556.71826263033
43,840837.8452785288,101811.74429741742,57336.6624829062
44,815146.6347596553,117325.19150008519,67524.66781869222
45,786464.8247508063,134278.62058872738,79254.73485609765
46,754788.5878398935,152544.23108974175,92681.81930137191
47,720243.9400855852,171814.2874809623,107932.00405763516
48,683122.7128936191,191768.58490841446,125122.55974449521
49,643824.2045656616,211881.3131757826,144295.87083740832
50,602903.1125573847,231623.95584405764,165482.8463503666
51,561001.9334387038,250347.61140321998,188649.01752203878
52,518861.95682055916,267452.48229566,213680.4676130761
53,477238.8264472536,282340.19009044894,240426.3200442671
54,436812.4582024009,294526.4118409656,268663.3626279441
55,398217.1902706181,303675.20023440075,298115.44189821364
56,361941.42007319804,309578.760752024,328466.0860016867
57,328327.31485315325,312232.99095161736,359434.02661415003
58,297572.00339659455,311773.8282554361,390656.68051804084
59,269735.2171941062,308427.22360140533,421842.6021046901
60,244775.20989057058,302545.55498153385,452675.28282627894
61,222562.25815177913,294501.66772972606,482928.9242322433
62,202908.21513534023,284720.80285002204,512377.0159300625
63,185565.45750335982,273577.72965949116,540858.4573008002
64,170341.27923930445,261444.9071821738,568210.0020490583
65,156979.38056260342,248664.3734070457,594354.5739962042
66,145277.51398205396,235512.0290080122,619226.3240957247
67,135002.35693435045,222215.5605148815,642778.6951350394
68,126001.65627607337,208994.56685553966,664995.5029230468
69,118103.13280757451,196012.0353059315,685903.4759098017
70,111169.71404559855,183341.82982993007,705493.6077644782
71,105042.90291109469,171114.32306964853,723837.7976450686
72,99649.57644525697,159406.06031126817,740943.5209752487
73,94882.93755598752,148233.5862126265,756880.4465808383
74,90668.00869271204,137628.35622030086,771714.2799748433
75,86930.56906128908,127608.73607194175,785456.6795813995
76,83587.26952681645,118168.78676421088,798223.3527210512
77,80630.85193304405,109319.27580265015,810049.4086681518
78,77986.730408034,101037.43505638692,820987.0033989629
79,75616.4201318349,93292.579827493,831081.0204229881
80,73508.17563105645,86083.28302535438,840413.3517013171
81,71612.03106828849,79374.13640689461,849016.2545862014
82,69903.99261937375,73142.07049338729,856954.8583901031
83,68373.16804729948,67366.38450519914,864269.9279397444
84,66990.50350644738,62009.92793012202,871011.7560901315
85,65754.83117634172,57052.58311119123,877204.2613795826
86,64613.01834415792,52471.02523970545,882915.5059908325
87,63596.03268961805,48237.18822427402,888159.4778808685
88,62671.06770276045,44338.9703787957,892975.7502983733
89,61839.16308024333,40740.560819830425,897419.8895358578
90,61091.24025121377,37411.12006929403,901489.8119733144
91,60413.94805301766,34354.97500496089,905228.2799878019
92,59778.15560887117,31550.2692749228,908662.4205173502
