t,S,I
0,101.58076643030311,-9.781665000378794
1,91.82184959738706,-5.3551369885671685
2,94.04723561707456,2.33742303629887
3,89.68855650034155,3.1835733752649156
4,103.19145782135497,13.420839893322324
5,91.45340677633911,-2.457980390716691
6,99.92753248501093,-0.8595035360542944
7,92.99608852613478,0.6228295601302125
8,90.17525188426526,-1.9275567834616711
9,92.46583512138527,-1.8897853295328977
10,111.48831563188341,1.1395641155731226
11,83.20241553445125,10.575610986433967
12,89.9544205107545,-3.131002345636677
13,90.3804921890828,0.513362807545624
14,94.09540106168899,6.33393453004364
15,97.24328620895282,6.428675002866989
16,94.50574943099973,1.7065338404880497
17,97.51872071508339,1.5611460190268365
18,97.00491467089435,6.371666045294606
19,89.22869970960157,8.54037770691213
20,86.22593162026334,12.080898796866222
21,85.0365507395305,3.8184813350609
22,84.27119086480344,4.560379729092906
23,96.40858318483687,4.094747020684144
24,79.15368567378124,13.435175414796298
25,100.52304781382435,13.193730206531777
26,91.63371200723094,11.630341748435299
27,99.39636561791012,21.7904757653791
28,84.02293474369056,14.358595227776721
29,91.02734795111643,26.18441850127815
30,83.72916561527583,17.696288259127467
31,87.80583599119039,23.201024383467118
32,92.75718858774181,18.292633481815173
33,83.42107733853663,13.604597581689426
34,78.7418944677729,22.062186413455137
35,81.79763021067706,18.4996743238357
36,75.88896076706713,23.74947225030044
37,71.2648168236098,25.660161658340478
38,79.53108910633273,25.62333860988908
39,67.41520669807588,35.492179614620824
40,63.185374786557325,30.895365268915256
41,65.75835019311847,24.966765218569332
42,62.41046120238992,44.552135103397354
43,58.0578180018262,35.06200595135586
44,62.21260750192003,43.714481754055605
45,54.78806660746613,45.510954070391406
46,53.58720829301276,43.98055304766839
47,48.42531913413136,46.9552457523308
48,49.42427345535675,55.38390157226337
49,46.72665877062249,60.78653754609741
50,48.393667654150214,58.55293945023221
51,37.91202272570759,66.10604752801082
52,37.47611192020028,66.0027313576376
53,36.72778293678699,64.98083379920382
54,30.063031538859917,68.3134189738364
55,35.474220063909264,69.40979460665287
56,34.9658085256913,74.89425267128121
57,33.39719216746394,74.68305920189547
58,30.212306414893106,74.49352123605296
59,24.183287258975813,79.85632040550257
60,19.389869436389848,80.8067692825314
61,22.739186294679733,78.00470413486539
62,9.071158417238852,79.957074456716
63,20.328152763040066,79.91021651370721
64,12.793066363988396,84.29654937270891
65,12.001534445699267,89.9314555857871
66,13.983348555234054,82.34921613094211
67,18.38778182900558,89.49202331988606
68,6.602111106258244,78.49824584665737
69,15.7371481924327,103.40323610829118
70,17.61481468637247,85.2038975840334
71,-0.13885635423104858,96.12619962344439
72,5.187527349342568,89.06620850359438
73,12.331012944238473,98.82911914215317
74,2.8965492246183575,94.62171280936177
75,14.663807219293535,96.1390614494504
76,5.426904194859802,103.64680137681043
77,12.271185696506127,94.84309051533735
78,-0.17196094204047796,98.9066179412761
79,4.813594038843364,104.09979999616876
80,2.3541671612535966,103.11710744881607
81,2.7254761557285674,91.11117500275755
82,5.957945485552344,96.94450865928184
83,1.0943769415669236,97.62302824315775
84,5.7297028533243495,109.17131793269212
85,4.7597796707867035,100.77807157134052
86,2.6557885136916894,102.24935504215648
87,6.62494554784375,101.51536166834032
88,-0.553486332736199,92.02375597229423
89,4.7967301145988275,109.09560956724923
90,-0.13330049523898357,99.439743240696
91,-1.5324481761402842,105.31056586714334
92,-6.971840756554247,103.20917779084313
93,-0.29457672434245175,101.14425286354175
94,-0.2582554301827592,96.1275130775478
95,-3.2835128253123154,98.3853014111026
96,-9.49211058950307,93.18242453549891
97,3.1494877250075826,110.76720988755987
98,-5.286069976388061,109.27585116593829
99,-5.821302926963425,112.42695750084371
