cellsource,rightfoot,travel,getlunch,height,gender,age,year,armspan,cellcost
pocket,20,walk,home,152,male,12,7,150,30
parent,25,other,friend,153,female,11,6,152,50
parent,21,motor,home,137,male,10,6,132,55
pocket,20,walk,home,115,male,9,5,130,60
pocket,23,other,home,165,female,14,10,160,20
parent,19,motor,home,137,female,11,7,50,50
parent,23,motor,home,164,female,12,8,164,10
pocket,35,motor,tuckshop,150,female,15,11,100,20
parent,22,motor,home,150,female,12,8,152,10
other,30,walk,tuckshop,123,male,14,9,23,0
parent,30,motor,tuckshop,185,male,14,9,180,60
parent,23,other,home,162,female,13,9,157,20
job,13,bus,home,180,female,14,9,165,20
parent,22,bus,home,164,female,15,10,127,26
job,24,train,home,153,male,10,6,158,55
parent,28,motor,home,176,male,14,9,178,20
parent,11,bike,home,129,male,10,5,165,0
other,23,motor,home,145,male,10,6,144,25
parent,40,motor,tuckshop,160,male,14,9,160,60
pocket,25,bus,home,155,male,13,8,150,10
parent,28,motor,home,155,male,12,8,155,0
parent,19,motor,home,146,female,9,4,140,25
job,29,walk,none,165,female,13,9,164,50
other,23,motor,home,170,male,12,8,70,55
parent,23,walk,home,161,female,13,9,162,20
other,27,bus,home,180,male,13,9,26,60
job,24,motor,friend,162,female,16,12,168,40
parent,24,motor,home,163,female,14,10,158,20
pocket,24,motor,home,174,male,14,10,164,0
pocket,22,bus,home,146,female,12,8,136,10
parent,24,bus,home,151,female,13,9,156,0
job,22,bus,none,167,female,15,11,167,20
parent,21,motor,home,150,female,13,9,147,50
job,19,motor,home,130,female,9,6,130,45
parent,40,bus,home,182,male,15,10,86,10
parent,21,motor,home,135,female,11,6,137,20
pocket,40,walk,home,166,male,13,9,166,20
other,21,motor,home,123,male,10,5,114,5
other,23,bike,home,144,female,11,6,142,10
parent,26,motor,tuckshop,NA,female,13,8,170,80
parent,10,walk,dairy,167,female,12,8,72,10
NA,30,bike,home,125,male,10,5,94,NA
pocket,25,train,tuckshop,165,male,16,10,120,100
parent,27,motor,home,180,male,14,10,178,20
pocket,26,bike,home,153,male,13,8,153,10
NA,21,motor,home,136,female,9,5,135,NA
pocket,22,motor,home,169,female,14,10,NA,10
pocket,25,motor,home,153,female,12,8,155,20
NA,22,bus,home,160,female,13,8,162,NA
parent,25,bus,tuckshop,167,male,14,9,73,0
parent,25,train,home,165,male,14,9,170,20
NA,18,motor,home,NA,male,11,7,72,NA
NA,25,walk,home,144,male,11,7,37,NA
NA,17,motor,home,151,female,11,7,154,NA
NA,24,bus,home,154,male,13,8,156,NA
NA,24,walk,home,152,female,12,8,159,NA
job,11,bike,home,NA,male,9,5,NA,11
parent,15,walk,tuckshop,NA,female,15,11,32,200
parent,26,bus,home,168,female,14,10,163,10
parent,25,bus,home,167,male,14,9,170,10
parent,NA,motor,dairy,162,female,14,10,162,10
parent,22,walk,home,140,female,11,7,147,0
parent,NA,motor,tuckshop,154,female,13,9,154,10
NA,24,motor,home,160,female,12,8,165,NA
parent,23,bus,home,163,female,12,7,162,25
NA,NA,walk,home,163,male,11,7,155,NA
NA,22,motor,home,146,male,10,6,151,NA
job,25,walk,home,160,male,14,9,160,10
parent,14,walk,home,154,female,13,8,20,10
parent,20,motor,home,170,female,14,8,170,10
NA,10,motor,tuckshop,160,male,8,4,112,NA
parent,26,motor,home,154,male,12,8,159,20
parent,36,walk,dairy,189,male,13,8,151,12
NA,21,walk,home,142,male,8,4,140,NA
parent,22,bike,home,135,male,12,8,133,10
pocket,NA,walk,home,176,male,14,10,170,20
job,18,motor,none,167,male,13,9,107,0
other,26,walk,home,156,female,11,7,152,0
parent,24,walk,tuckshop,165,female,13,9,171,80
NA,23,motor,home,150,male,10,5,146,NA
NA,23,motor,home,150,male,11,7,145,NA
parent,24,motor,home,150,female,11,7,151,10
parent,24,motor,home,152,male,12,8,153,0
parent,20,walk,home,156,female,15,11,NA,20
parent,20,motor,home,134,female,10,5,133,20
parent,26,motor,none,157,female,15,10,165,20
other,25,motor,tuckshop,182,female,15,11,80,30
NA,24,bike,home,147,male,10,6,147,NA
pocket,NA,motor,home,166,male,14,10,166,40
parent,25,motor,home,165,female,11,7,120,25
pocket,23,bus,home,162,female,14,10,162,10
parent,29,motor,home,167,female,14,10,165,10
pocket,22,motor,home,160,female,12,8,150,10
NA,23,motor,home,144,male,10,6,144,NA
job,26,motor,home,175,female,14,9,170,40
other,19,train,home,151,female,13,9,149,20
parent,20,bus,home,158,female,13,9,154,2
pocket,22,walk,friend,160,female,14,10,100,20
parent,25,walk,none,127,male,17,13,NA,20
pocket,23,walk,home,150,female,13,8,145,20
NA,24,walk,home,151,male,12,8,155,NA
NA,25,bus,dairy,180,female,12,8,160,NA
NA,23,motor,home,157,male,11,7,148,NA
pocket,27,train,home,175,female,13,9,177,20
NA,22,motor,home,151,male,10,5,141,NA
NA,25,walk,home,162,male,10,6,156,NA
NA,27,bus,home,166,male,13,9,167,NA
parent,23,bus,home,167,female,14,10,170,20
parent,24,walk,tuckshop,177,male,15,10,179,0
parent,22,motor,home,150,female,12,8,NA,20
parent,21,motor,home,133,male,9,5,41,120
parent,23,train,home,174,female,13,9,165,10
job,25,motor,home,167,female,17,13,167,NA
parent,21,bus,home,100,female,13,8,158,60
parent,25,motor,home,178,male,15,10,182,20
pocket,23,motor,home,170,female,13,9,70,10
parent,NA,bus,dairy,165,female,14,9,52,20
NA,22,motor,home,130,female,11,7,144,NA
NA,27,motor,tuckshop,170,male,13,8,171,NA
NA,10,bus,home,185,female,15,10,110,NA
parent,25,walk,tuckshop,172,female,14,10,178,20
parent,24,walk,home,155,female,12,7,153,5
NA,23,motor,home,NA,female,9,5,NA,NA
NA,17,motor,home,160,male,11,7,90,NA
NA,22,motor,home,146,female,10,6,140,NA
parent,24,walk,home,156,male,13,9,173,10
NA,23,walk,home,140,male,9,5,135,
parent,24,motor,home,164,female,13,9,145,10
parent,23,walk,home,153,male,11,6,149,250
parent,20,bus,home,152,female,14,9,155,10
NA,24,walk,home,160,male,11,7,155,NA
parent,20,motor,home,150,female,14,9,151,20
NA,24,motor,home,147,female,11,6,NA,NA
pocket,15,bus,NA,151,male,12,8,169,15
parent,22,motor,home,160,female,14,10,162,20
parent,20,bike,tuckshop,140,male,11,6,128,200
parent,26,motor,tuckshop,172,male,16,11,173,20
parent,22,bus,tuckshop,153,female,15,10,155,20
other,25,walk,dairy,166,female,13,8,135,20
NA,23,walk,home,143,female,10,6,145,NA
other,18,walk,tuckshop,186,male,15,10,186,40
parent,26,train,home,168,female,13,9,180,20
other,25,motor,home,175,female,14,10,180,40
NA,20,motor,home,152,female,10,6,152,NA
other,21,motor,home,157,female,13,9,149,30
parent,24,bus,home,167,female,13,9,166,10
NA,25,motor,home,147,male,11,6,152,NA
pocket,22,walk,dairy,165,male,12,7,175,5
NA,NA,walk,dairy,123,female,13,9,NA,NA
NA,30,bus,tuckshop,171,female,14,9,67,NA
parent,20,bus,home,164,female,9,5,163,10
pocket,19,motor,home,151,male,13,8,146,20
parent,23,walk,tuckshop,151,female,13,8,152,10
parent,22,motor,home,NA,female,13,8,159,20
parent,26,bus,dairy,165,male,14,9,170,40
other,26,motor,home,150,male,12,8,100,10
parent,24,walk,tuckshop,177,male,13,9,175,120
pocket,NA,motor,home,151,female,12,8,NA,0
NA,19,walk,tuckshop,118,male,7,4,100,NA
NA,25,walk,home,NA,female,11,7,149,NA
parent,21,motor,tuckshop,141,male,9,5,138,50
parent,22,bus,none,165,female,13,9,165,20
NA,20,bus,home,132,female,9,5,124,NA
other,21,motor,home,120,male,11,7,139,0
parent,21,walk,home,150,female,11,7,149,0
pocket,40,motor,none,172,male,14,10,180,30
parent,NA,bus,home,150,female,11,7,150,20
NA,22,bike,home,139,male,9,5,142,NA
NA,28,other,home,170,male,14,10,200,NA
parent,16,bike,tuckshop,134,male,10,6,124,0
other,25,walk,home,105,female,12,8,60,0
NA,26,bus,home,161,male,12,8,161,NA
other,25,motor,home,166,male,12,8,110,0
other,25,motor,tuckshop,173,male,13,9,173,NA
NA,NA,motor,friend,146,male,11,6,146,NA
parent,12,bus,none,171,male,14,4,171,10
NA,24,motor,home,161,female,11,7,161,NA
pocket,27,walk,home,164,female,15,10,NA,NA
pocket,25,motor,school,152,female,14,6,156,10
pocket,23,motor,tuckshop,152,male,13,9,155,2
parent,22,motor,home,143,female,12,7,NA,10
NA,20,bus,home,133,male,10,5,NA,NA
pocket,29,motor,home,161,male,11,8,161,160
parent,30,bus,dairy,164,male,14,9,160,20
NA,,bus,dairy,127,male,12,8,NA,NA
NA,20,walk,home,142,male,9,5,137,NA
NA,29,bus,home,179,male,14,10,179,NA
pocket,21,motor,home,157,female,12,8,157,10
pocket,23,walk,home,152,male,11,7,144,10
NA,20,bike,home,165,male,12,8,158,NA
parent,22,bus,home,162,female,14,10,160,15
NA,26,motor,school,168,female,14,9,174,NA
NA,23,walk,home,167,male,14,9,167,NA
pocket,20,bus,home,149,female,13,8,153,20
pocket,23,bus,home,150,male,13,9,150,50
NA,10,motor,home,132,male,8,4,139,NA
NA,20,motor,home,132,female,10,6,125,NA
parent,26,bus,tuckshop,180,male,14,10,76,10
other,23,bus,home,161,male,14,9,146,10
job,27,bus,home,170,male,15,11,175,40
NA,20,walk,friend,153,male,11,6,148,NA
parent,25,bike,home,161,male,12,7,167,10
parent,22,motor,home,151,female,12,7,156,10
parent,NA,bus,dairy,200,male,14,9,NA,30
pocket,22,motor,home,158,female,12,8,155,20
NA,27,bus,home,150,female,10,6,150,NA
parent,22,motor,home,145,female,10,6,150,20
other,22,motor,home,141,female,13,8,144,20
parent,22,motor,tuckshop,158,female,13,8,158,10
job,20,other,home,137,male,10,5,68,23
pocket,23,bus,home,144,male,12,7,143,10
pocket,24,walk,home,168,female,13,9,164,10
parent,23,bike,none,158,male,14,9,120,50
NA,11,walk,home,NA,female,11,6,173,NA
parent,25,bus,dairy,174,male,14,10,174,NA
NA,22,motor,home,148,female,11,7,157,NA
NA,26,motor,home,168,male,15,10,177,NA
job,27,walk,home,167,female,14,10,166,10
parent,28,motor,dairy,168,female,12,8,155,20
parent,20,bus,home,NA,female,13,9,161,20
NA,22,walk,home,139,male,11,7,122,NA
parent,NA,motor,none,173,male,14,9,NA,20
pocket,15,bike,tuckshop,141,male,12,8,100,10
NA,21,walk,tuckshop,131,male,9,5,125,NA
parent,22,bus,home,170,female,14,9,163,10
job,23,motor,dairy,163,female,14,10,143,20
other,24,bus,home,122,female,10,10,NA,100
NA,22,motor,home,137,female,10,6,146,NA
NA,21,motor,home,152,female,12,8,45,NA
parent,23,motor,friend,150,male,12,7,155,0
NA,18,bus,home,160,male,9,5,143,NA
parent,24,walk,home,167,female,13,9,170,20
parent,24,motor,home,180,male,14,9,NA,20
NA,24,walk,home,168,male,13,8,NA,NA
parent,26,walk,home,174,female,15,10,180,40
job,23,bus,tuckshop,155,female,14,10,155,10
parent,24,motor,home,157,female,14,9,165,55
NA,22,motor,home,162,female,13,8,155,NA
parent,25,bus,home,155,male,12,8,158,10
other,21,bus,home,151,female,11,7,113,10
parent,15,walk,dairy,159,female,12,8,NA,60
NA,30,bus,dairy,170,female,13,9,172,NA
other,27,bus,home,128,female,14,10,192,0
parent,21,walk,home,170,female,14,10,181,60
NA,22,motor,home,149,male,11,6,145,NA
NA,22,motor,home,154,male,10,6,143,NA
job,23,motor,tuckshop,152,male,13,9,148,40
pocket,27,bus,dairy,171,male,13,9,168,40
NA,24,walk,home,144,male,10,6,143,NA
parent,25,walk,home,175,female,15,10,175,10
parent,21,bus,tuckshop,165,male,15,10,162,20
NA,23,motor,NA,140,female,11,7,135,NA
NA,23,motor,home,156,female,10,6,NA,NA
pocket,27,walk,home,180,female,14,9,177,10
parent,23,bike,home,171,male,13,9,172,5
parent,23,walk,home,171,male,13,9,155,0
other,30,walk,home,179,male,15,10,150,15
pocket,22,bus,school,154,female,11,6,NA,10
pocket,23,bus,home,148,female,12,7,148,10
NA,25,motor,home,165,male,12,8,164,NA
NA,24,motor,home,NA,female,11,7,145,NA
pocket,21,walk,home,144,female,13,9,144,3
parent,22,motor,home,156,female,13,8,52,20
parent,21,motor,home,151,male,11,7,148,10
pocket,25,bus,home,139,female,11,6,139,10
pocket,20,motor,home,143,male,10,6,137,40
