t,S,I,R
0,46787960.0,1.0,163.1181949372034
1,46787634.763610125,0.0,326.2363898744068
2,46787471.64541519,0.0,489.35458481161027
3,46787308.52722025,0.0,652.4727797488137
4,46787145.40902531,0.0,815.590974686017
5,46786982.290830374,0.0,978.7091696232204
6,46786819.172635436,0.0,1141.8273645604238
7,46786656.054440506,0.0,1304.9455594976273
8,46786491.93624557,1.0,1468.0637544348308
9,46786329.81805063,0.0,1631.1819493720343
10,46784372.399711385,1794.3001443092378,1794.3001443092378
11,46784209.28151645,1794.3001443092378,1957.4183392464413
12,46784046.16332151,1794.3001443092378,2120.5365341836446
13,46783883.04512657,1794.3001443092378,2283.654729120848
14,46783719.926931635,1794.3001443092378,2446.7729240580516
15,46783556.8087367,1794.3001443092378,2609.891118995255
16,46783393.69054176,1794.3001443092378,2773.0093139324586
17,46783230.57234682,1794.3001443092378,2936.127508869662
18,46783067.45415188,1794.3001443092378,3099.2457038068655
19,46782904.335956946,1794.3001443092378,3262.363898744069
20,46782741.21776201,1794.3001443092378,3425.4820936812725
21,46782578.09956707,1794.3001443092378,3588.600288618476
22,46782414.98137214,1794.3001443092378,3751.7184835556795
23,46782251.8631772,1794.3001443092378,3914.836678492883
24,46782088.744982265,1794.3001443092378,4077.9548734300865
25,46781925.62678733,1794.3001443092378,4241.07306836729
26,46781762.50859239,1794.3001443092378,4404.191263304493
27,46781599.39039745,1794.3001443092378,4567.309458241696
28,46781436.272202514,1794.3001443092378,4730.427653178899
29,46781273.15400758,1794.3001443092378,4893.545848116102
30,46781110.03581264,1794.3001443092378,5056.664043053305
31,46781271.15400758,1632.1819493720343,5057.664043053305
32,46781432.272202514,1470.0637544348308,5058.664043053305
33,46781593.39039745,1307.9455594976273,5059.664043053305
34,46781752.50859238,1146.8273645604238,5061.664043053305
35,46781905.62678732,988.7091696232204,5066.664043053305
36,46782054.74498226,832.590974686017,5073.664043053305
37,46782195.863177195,680.4727797488137,5084.664043053305
38,46782344.98137213,524.3545848116103,5091.664043053305
39,46782470.09956707,380.2363898744068,5110.664043053305
40,46782631.21776201,218.1181949372034,5111.664043053305
41,46782638.335956946,133.0,5189.664043053305
42,46782515.335956946,194.0,5251.664043053305
43,46782328.335956946,287.0,5345.664043053305
44,46782223.335956946,339.0,5398.664043053305
45,46781843.335956946,528.0,5589.664043053305
46,46781668.335956946,613.0,5679.664043053305
47,46781261.335956946,813.0,5886.664043053305
48,46780846.335956946,1015.0,6099.664043053305
49,46780189.335956946,1340.0,6431.664043053305
50,46779414.335956946,1718.0,6828.664043053305
51,46778337.335956946,2256.0,7367.664043053305
52,46777421.335956946,2675.0,7864.664043053305
53,46775805.335956946,3452.0,8703.664043053304
54,46774463.335956946,4076.0,9421.664043053304
55,46772970.335956946,4796.0,10194.664043053304
56,46771473.335956946,5449.0,11038.664043053304
57,46769921.335956946,6180.0,11859.664043053304
58,46768302.335956946,6886.0,12772.664043053304
59,46767019.335956946,7421.0,13520.664043053304
60,46765505.335956946,8012.0,14443.664043053304
61,46763980.335956946,8576.0,15404.664043053304
62,46762819.335956946,8887.0,16254.664043053304
63,46761818.335956946,9139.0,17003.664043053304
64,46761269.335956946,8994.0,17697.664043053304
65,46760587.335956946,8976.0,18397.664043053304
66,46759952.335956946,8907.0,19101.664043053304
67,46759302.335956946,8810.0,19848.664043053304
68,46758813.335956946,8644.0,20503.664043053304
69,46758458.335956946,8365.0,21137.664043053304
70,46758156.335956946,8142.0,21662.664043053304
71,46757873.335956946,7822.0,22265.664043053304
72,46757740.335956946,7408.0,22812.664043053304
73,46757990.335956946,6858.0,23112.664043053304
74,46757435.335956946,6761.0,23764.664043053304
75,46756915.335956946,6674.0,24371.664043053304
76,46756241.335956946,6661.0,25058.664043053304
77,46756863.335956946,5998.0,25099.664043053304
78,46756790.335956946,5661.0,25509.664043053304
79,46756647.335956946,5405.0,25908.664043053304
80,46756421.335956946,5201.0,26338.664043053304
81,46756076.335956946,5111.0,26773.664043053304
82,46755799.335956946,4948.0,27213.664043053304
83,46755612.335956946,4768.0,27580.664043053304
84,46755156.335956946,4846.0,27958.664043053304
85,46755232.335956946,4482.0,28246.664043053304
86,46755177.335956946,4206.0,28577.664043053304
87,46755262.335956946,3820.0,28878.664043053304
88,46754397.335956946,4232.0,29331.664043053304
89,46754271.335956946,4090.0,29599.664043053304
90,46754670.335956946,3691.0,29599.664043053304
91,46753986.335956946,3818.0,30156.664043053304
92,46754093.335956946,3547.0,30320.664043053304
93,46754205.335956946,3271.0,30484.664043053304
94,46754202.335956946,3089.0,30669.664043053304
95,46754092.335956946,2955.0,30913.664043053304
96,46753954.335956946,2880.0,31126.664043053304
97,46753827.335956946,2778.0,31355.664043053304
98,46753770.335956946,2656.0,31534.664043053304
99,46753937.335956946,2346.0,31677.664043053304
100,46753959.335956946,2201.0,31800.664043053304
101,46753607.335956946,2377.0,31976.664043053304
102,46753796.335956946,2004.0,32160.664043053304
103,46753526.335956946,2057.0,32377.664043053304
104,46753414.335956946,2031.0,32515.664043053304
105,46753391.335956946,1950.0,32619.664043053304
106,46753635.335956946,1706.0,32619.664043053304
107,46753556.335956946,1639.0,32765.664043053304
108,46753647.335956946,1479.0,32834.6640430533
109,46753606.335956946,1410.0,32944.6640430533
110,46753645.335956946,1319.0,32996.6640430533
111,46752392.335956946,1884.0,33684.6640430533
