t,S,I,R
0,97.01665754023489,3.377399973205731,-3.816768927775707
1,102.24543170326915,3.341582397679812,-1.2931795115592053
2,104.19872670845312,6.0049071497214,-3.2175059735520164
3,99.79707480976897,10.796475445761393,0.6508408522616295
4,99.993286104437,3.8927305934099175,0.6722548513086043
5,107.17564964242803,5.1455661460849775,1.7598504187142165
6,93.0064671603562,-2.6229857248475597,2.4657296576926435
7,99.36709682290834,5.392450285685866,1.9835022424285254
8,96.56415445156182,-1.334466941064316,6.425226124171945
9,94.40306705115087,4.360115204351364,7.003514634697841
10,95.58211813505639,2.2679362903385623,2.1075079038324502
11,96.13732647289915,13.266705417953556,6.424933087624875
12,96.8188807752858,-5.648880187205961,3.3371097503805
13,98.08320378182123,3.066359269630003,4.6030964775627705
14,93.9983711404358,-3.968807232520053,-3.9133855891213294
15,99.4808419137846,4.913604370422859,-3.832561470760232
16,95.32922363069078,12.698221640104242,-0.8283175299217587
17,94.79881569975065,-2.632310240117299,-4.297534263492701
18,99.37152102672356,4.2740443203768335,2.0420142005077886
19,103.36145423427718,6.591303120468303,-0.2063321104673994
20,96.99671223150965,-3.009289010865216,-0.5671373463706049
21,94.86962236779085,12.323530986413143,5.105486935106227
22,92.80422416824206,8.48909207507687,-10.439721140755715
23,93.30009679823873,3.0443746157478553,-4.615162366980213
24,100.75302280811687,-8.082935502781691,-8.75890665819321
25,91.5041635254439,16.605153754966345,3.9724307575791693
26,92.30756140350847,7.837796070545901,-2.054219486671721
27,94.22074809782775,8.152103241526943,-5.072321845070424
28,90.44624010564479,10.371547684052663,1.8866997577318965
29,87.91255147835372,-5.484480099217574,-3.0326572467890394
30,83.01784137478079,6.759656987366383,2.60146620049455
31,77.02722612813645,16.016347090691355,-6.358629204468931
32,92.02331880394203,19.5886872676072,16.537823767540374
33,77.10749075468416,9.79440717709629,-3.5015286713650706
34,80.56319901873987,15.677655866540245,-4.28312647017774
35,82.73294176132349,23.515627951320333,-3.239904664059946
36,77.51467640326612,21.043889521914895,8.29421403145464
37,82.54307742115218,19.886837441390945,5.4567831225689
38,74.33020383212637,12.724108027664471,9.01339810447116
39,77.12265572679681,17.071150266865846,-7.199951387370471
40,79.75228802068264,25.775727994420926,2.9937495057069614
41,72.90775234303042,28.848958057472654,1.5224067033753232
42,72.73042475387336,34.23969969663136,2.427927136228649
43,65.31530163275168,33.795188644687656,1.5688928682787977
44,68.62901311733002,30.87417260594164,11.840807987636879
45,57.416904591114985,23.051861163817392,7.129603817368292
46,61.931062873054934,34.44804752040913,-2.1812784510203915
47,49.50678283766282,37.08308981996093,-1.0323646157710664
48,68.01350230396795,38.93991340346396,9.120454309589912
49,51.32742528934531,37.586237581925474,9.473292718578776
50,55.9781354313792,31.97500511318585,1.2509510340503445
51,52.08809821417296,39.59542240864251,9.631012429872044
52,50.84226765191922,47.60020529065864,7.410632690382114
53,44.439790653534644,47.75029022035777,12.094967356143451
54,33.257220203675914,47.28662991566582,14.833767164149435
55,50.43424029323454,50.03050969724511,7.0536390393756205
56,50.041235170352145,48.37668756988133,4.256033026369472
57,41.42677517794036,52.629394317837026,10.428200285691261
58,41.31032592671915,53.40658688129278,12.972722163923704
59,48.14250947959009,60.5860235606795,10.967061434773491
60,43.27596789371961,60.95036989314112,14.279167332771534
61,22.38158648689556,56.173269246954625,18.77336027572476
62,23.154914165784177,57.72926978100543,19.37180106166817
63,39.17655848401486,66.45914676695865,16.341879487801435
64,28.801305307722288,66.96064096196142,9.140792857979623
65,21.14093883789242,59.085710563785604,22.273959438616835
66,25.89500155450056,59.75116027561676,11.479249852258825
67,20.476093517056825,58.57746210569515,15.595087917997255
68,20.458048839541643,59.46648298937265,22.375085391653187
69,21.025219004252648,64.84577957176437,20.11689034543253
70,18.97566720430847,68.91394804495877,18.05760399688704
71,11.549297206866308,80.14537738679523,25.707343166697413
72,13.31590133416709,68.34053175068384,18.063210316128735
73,13.578043450848359,68.7217668052233,17.063797761087553
74,15.797054073309425,67.59327619492679,13.008769245720131
75,2.9398045270709225,61.59023346774763,21.94336948077614
76,16.23734888040616,72.95475822033427,28.34883055801166
77,8.391843944146476,60.979870095811286,17.370714428172008
78,11.124145653368902,68.77839185546198,25.287536550716638
79,10.537924201965593,63.46130056941128,21.05734327853397
80,8.534502968012118,65.77779937409977,22.57959830726087
81,4.467006864366365,64.48032101748736,25.07411237965839
82,9.816813915508039,69.38877800539127,18.62233285709358
83,1.0833035573546308,65.9587606980122,18.62804919005272
84,6.424358405222227,64.90530204847076,29.278602013597293
85,11.233700809365647,75.38401607269931,28.185513228570766
86,-2.576084893865046,61.635270068157205,38.910140446367336
87,7.511208299785935,61.259463937187505,28.75514562585438
88,5.329016860866581,69.90037777572823,28.041285455644328
89,5.0877747031554055,66.47964928743995,21.132242366477946
90,8.82295549990879,70.2322538858646,27.286394923406817
91,-0.6357715084311204,64.5229172186043,36.49578237315038
92,7.741605620083332,59.9970584785166,24.735266797380497
93,5.400935846262396,68.41681682605174,35.05888542726552
94,1.1974634028315445,60.848282424030955,38.92918118413979
95,-2.716828057748126,66.06327147073517,32.564554848619906
96,3.9777410197504723,57.056592248627226,39.569222192123235
97,9.813090278787534,62.28193942158607,48.97456616419165
98,3.4048691863687166,58.295558568939654,32.994648671429694
99,7.697911830698252,57.33881088521718,28.011758275243803
100,-6.746472376424258,65.13481227828476,33.28035746565868
101,5.343644133986926,52.98505266774285,39.734282519315144
102,4.986309816740145,55.77610285577208,36.011848671815414
103,1.2575437245193875,50.52630764690579,35.129995887865746
104,-2.422892970997431,61.632772714179175,39.95573142926999
105,-2.975267405810526,60.551098562608644,35.74416381245915
106,-3.5140859247831617,58.42294999006353,41.93470936098415
107,6.219892869412589,54.54304561760544,36.08988465251072
108,0.3897742741921968,58.2675390405813,31.727106165882773
109,0.1353613450361295,57.78552099173171,39.2862136809743
110,-2.6700120108131706,58.38195705427998,43.22890057895667
111,-4.600827399550883,56.08219734817213,39.445007059584256
112,6.558721283187421,51.921526893198156,44.1734753344121
113,-4.985903390326849,50.15901386456785,44.97026739166719
114,0.26525492502343717,56.048614882982726,49.58990677156253
115,8.271426928079345,60.21141187840656,46.03227681240242
116,-3.1254865979191284,43.6625269756957,43.55135567207847
117,7.110175148143965,46.132151411648394,46.97014065398694
118,-1.3733446391593773,57.4558945321138,45.20230507000502
119,-5.4372048929151955,50.06808055967807,47.82548839900769
120,1.8959085883398705,53.25291628860022,44.9479847293726
121,0.32181345235134545,46.2573251214523,48.633892019146266
122,-2.1009465449596343,65.21146048593006,58.652690331007754
123,2.1018517093445563,54.52298478645754,55.17644521892402
124,3.4560525323454545,49.03575554619606,49.460352850858825
125,3.064363275129681,54.1894884607626,44.68704855669237
126,1.464706786274958,39.4867368912345,53.00163932821795
127,-5.63053168392056,46.50936910115338,50.12752145408044
128,-5.314939427183765,42.8649356242656,48.09422181155238
129,-3.5054803896909354,54.26182039725074,52.951530524324546
130,-0.7815048263336521,52.86730205485937,47.27761539259504
131,-1.4277885253567977,41.544072934038844,44.82062793957411
132,-0.0063153360006388826,48.48314892444596,53.6960912988151
133,2.072669827716344,42.47289877643486,54.58840459791477
134,9.10882464833224,38.57258297015151,44.73783060672987
135,-1.2640598070188238,47.928584715272024,57.45652490499505
136,1.9927346139057411,42.288841680071386,61.80011512107786
137,9.228221411185007,47.449840948505596,62.075212333467306
138,-2.7366647406403595,29.30182602065904,57.00383696613211
139,-4.6582847855056135,48.389294155474,50.33331553744434
140,-3.8734797706146455,42.87407927298341,61.09853691698942
141,-3.5045709596718435,44.71770623109179,55.85870474608724
142,-12.965612732481775,48.73959735686016,59.815899634873716
143,2.1747900331045784,39.96641030397406,57.684373956803924
144,-6.987321027434341,34.63211290360318,57.08221929130586
145,1.5673933173250467,35.38133365298412,54.59393529616777
146,4.497837818941063,34.00321763122722,64.110768726046
147,4.092508513610404,33.69299115400987,61.20855072149946
148,-8.515167120314745,49.72084960859669,64.85530987371669
149,11.552059840447686,33.73899397120567,58.58061348677548
150,-7.074601023326573,39.17260956223712,67.67504609133982
151,5.1065448617711615,35.83392331803293,53.66213184043356
152,-1.643455271319239,38.320430511720694,52.296458761780684
153,2.6113932986354715,27.32722266693852,64.84454520661562
154,10.158100835988385,46.13008236009832,61.86502385343242
155,5.144447411839285,43.81721408051681,61.82943301526758
156,-1.368784976489239,38.237965724863784,65.64749135278092
157,4.668123237209708,33.45556020282921,70.5132587808605
158,6.333643615228189,36.10168789462963,66.32335055323026
159,1.5645500127092065,29.85464877908221,66.77620127897097
160,0.3562642245358992,30.952622283680146,62.99166925496306
161,-5.299489179209414,35.31804799514639,59.60654976297486
162,-5.424548473361528,37.59986049366874,64.79750222783662
163,4.743578873977078,37.43729539095387,77.00626715175333
164,1.6487174368195578,33.63287165487062,68.09801482940559
165,0.7011973140007618,29.642762805401777,70.5372102966003
166,1.1212061419842403,36.08938524715127,63.2194959106206
167,-0.2004886370581156,32.880387773273036,60.56795409846218
168,5.295858745536912,24.679224180173144,73.28029961065887
169,-1.8184524214493003,39.20717298267381,74.83651088457647
170,6.4846001433158404,29.21292381441914,68.50539288256515
171,-5.4031318958145444,27.742283008318875,65.85376298712404
172,5.5171765480134,29.351416066289957,68.57736968998962
173,-5.022253642723264,34.09935355803983,66.3669958575801
174,-2.5903575631297846,37.88670738241803,68.6458457060816
175,-3.9512631330951873,28.25924377920259,76.8626189165186
176,3.5773206173327132,27.649138573569218,70.77121122166898
177,7.250671962309661,29.400347739388287,67.93478567729564
178,0.7474401791019221,19.949586760670847,79.9584200323497
179,0.503314998132406,18.79758881987812,69.83526016256437
180,-3.970594314126316,23.04339674890123,70.76456213447462
181,-0.9987499956068118,27.216593966996516,62.91025525105576
182,-1.2272192136362599,18.341409095910926,73.3632306246679
183,0.6575769451913142,24.18214635533309,73.40665932520045
184,-4.39202199039762,34.65055179341073,75.29324799400437
185,5.065815119861434,31.44912448223999,68.64117512155417
186,-2.5651772422297494,23.103737026490506,67.97184103011149
187,7.444314915975266,36.5685703556244,74.89186525418198
188,1.4392813399135884,26.014228899778715,80.4252187789388
189,-1.9421406138439987,26.167578270281865,78.47066031448311
190,-3.4829458080853395,24.87515159899754,81.30054657765771
191,4.027382093189781,27.071795745248146,76.45027214218719
192,-4.29755237097076,32.4073243125269,73.87390048117754
193,3.8232959882819255,24.196233486111844,67.0265530180407
194,14.542902332815483,22.907673436255426,85.06956256471186
195,4.990727634985756,24.944857688309945,71.956000813582
196,-3.389827133078498,18.014523696023915,79.90954547114778
197,2.9739076650382783,20.204036928657537,72.894930723676
198,6.956206439041052,25.639345961759236,75.60943614990597
199,2.470009661194641,29.643481818585386,77.32372569072433
200,2.6798570610136885,24.991314606477644,76.8548229362315
201,-7.331548938633401,26.60911968309574,85.49318172342286
202,-5.35715760963227,23.08794103374092,77.60714861368054
203,-6.134186882945413,19.16664990182478,80.65067920560764
204,-1.0107561315697147,14.363715699507111,75.10992936319441
205,3.5509411327705673,21.68721811537486,74.64595387918008
206,0.6455139141706205,25.005053218853927,77.44821423471504
207,0.8956660082130218,19.477964637614914,87.02717817699829
208,4.86728770481057,17.957163737809704,81.17207796697795
209,-3.0971592681133298,23.319989698961994,80.18290489540756
210,-5.0806387003597235,23.21509947364151,83.45811303997363
211,-5.490620490154682,24.521660869037966,81.92720337019175
212,4.154578752327715,17.7622868177247,78.55620660296586
213,6.342422154998918,17.111313457635244,81.16522483738655
214,2.339681085693551,25.59338351667854,76.01002334551659
215,-6.710402278469954,16.458368816255067,84.89179354896304
216,2.063836331428832,16.599239059408117,83.05117332847574
217,-0.5188807850888097,16.759022616443822,80.3233743589297
218,2.941747072394532,25.836300311707223,85.39047773342475
219,2.7957991491707817,21.1255564060438,79.77515350404369
220,0.6089107536896586,17.887597423145785,79.5616167008086
221,3.2733518988983303,12.231583173308419,76.14580724773376
222,6.169326563971467,13.824047108774334,93.3513799391261
223,-0.9116345051241304,25.822355848360896,76.40884459401607
224,-6.046637922871144,13.55698408651762,80.13139844216846
225,-2.135149305176237,18.44285961615707,79.65218507283517
226,-1.9042348839105618,12.81828407760193,84.11677521720165
227,-0.6262141077770249,17.296908252461094,85.73972643521225
